Zeit,Nachtlader,Schnelllader
5,0.0034945686216187,0.0006477791012787
10,0.0034945686216187,0.0006477791012787
15,0.0034945686216187,0.0006477791012787
20,0.003029650751123,0.0
25,0.003029650751123,0.0
30,0.003029650751123,0.0
35,0.0025938842167399,0.0
40,0.0025938842167399,0.0
45,0.0025938842167399,0.0
50,0.0021872690184695,0.0
55,0.0021872690184695,0.0
60,0.0021872690184695,0.0
65,0.0018968415237311,0.0
70,0.0018968415237311,0.0
75,0.0018968415237311,0.0
80,0.0016064975571765,0.0
85,0.0016064975571765,0.0
90,0.0016064975571765,0.0
95,0.0013173229851937,0.0
100,0.0013173229851937,0.0
105,0.0013173229851937,0.0
110,0.0010983956157058,0.0
115,0.0010983956157058,0.0
120,0.0010983956157058,0.0
125,0.0009331768683396,0.0
130,0.0009331768683396,0.0
135,0.0009331768683396,0.0
140,0.0007679581209733,0.0
145,0.0007679581209733,0.0
150,0.0007679581209733,0.0
155,0.0006125121711004,0.0
160,0.0006125121711004,0.0
165,0.0006125121711004,0.0
170,0.0004959903548335,0.0
175,0.0004959903548335,0.0
180,0.0004959903548335,0.0
185,0.000408703402863,0.0
190,0.000408703402863,0.0
195,0.000408703402863,0.0
200,0.0003214164508924,0.0
205,0.0003214164508924,0.0
210,0.0003214164508924,0.0
215,0.0002827429018375,0.0
220,0.0002827429018375,0.0
225,0.0002827429018375,0.0
230,0.000241145866353,0.0
235,0.000241145866353,0.0
240,0.000241145866353,0.0
245,0.0001873537160477,0.0
250,0.0001873537160477,0.0
255,0.0001873537160477,0.0
260,0.0001200299999824,0.0
265,0.0001200299999824,0.0
270,0.0001200299999824,0.0
275,7.98529436208669e-05,0.0
280,7.98529436208669e-05,0.0
285,7.98529436208669e-05,0.0
290,0.0,9.390781058473371e-05
295,0.0,9.390781058473371e-05
300,0.0,9.390781058473371e-05
305,0.0,0.0001894955462246
310,0.0,0.0001894955462246
315,0.0,0.0001894955462246
320,0.0,0.0001965512314564
325,0.0,0.0001965512314564
330,0.0,0.0001965512314564
335,0.0,0.000135653948206
340,0.0,0.000135653948206
345,0.0,0.000135653948206
350,0.0,0.0001835318122787
355,0.0,0.0001835318122787
360,0.0,0.0001835318122787
365,0.0,0.0001295222217546
370,0.0,0.0001295222217546
375,0.0,0.0001295222217546
380,0.0,0.0001229705140394
385,0.0,0.0001229705140394
390,0.0,0.0001229705140394
395,0.0,0.0001505212849444
400,0.0,0.0001505212849444
405,0.0,0.0001505212849444
410,0.0,8.28203052205337e-05
415,0.0,8.28203052205337e-05
420,0.0,8.28203052205337e-05
425,0.0,0.0001103710761255
430,0.0,0.0001103710761255
435,0.0,0.0001103710761255
440,0.0,0.0001853797298394
445,0.0,0.0001853797298394
450,0.0,0.0001853797298394
455,0.0,0.0001993231077975
460,0.0,0.0001993231077975
465,0.0,0.0001993231077975
470,0.0,0.0003287613332993
475,0.0,0.0003287613332993
480,0.0,0.0003287613332993
485,0.0,0.0005737784025979
490,0.0,0.0005737784025979
495,0.0,0.0005737784025979
500,0.0,0.000723711713773
505,0.0,0.000723711713773
510,0.0,0.000723711713773
515,0.0,0.0008667573322218
520,0.0,0.0008667573322218
525,0.0,0.0008667573322218
530,0.0,0.0020091903659993
535,0.0,0.0020091903659993
540,0.0,0.0020091903659993
545,0.0,0.0025329909982055
550,0.0,0.0025329909982055
555,0.0,0.0025329909982055
560,0.0,0.0032063049603231
565,0.0,0.0032063049603231
570,0.0,0.0032063049603231
575,0.0,0.0036892834136883
580,0.0,0.0036892834136883
585,0.0,0.0036892834136883
590,0.0,0.0067761457025879
595,0.0,0.0067761457025879
600,0.0,0.0067761457025879
605,0.0,0.0072591241559531
610,0.0,0.0072591241559531
615,0.0,0.0072591241559531
620,0.0,0.0080820354442347
625,0.0,0.0080820354442347
630,0.0,0.0080820354442347
635,0.0,0.0086058360764409
640,0.0,0.0086058360764409
645,0.0,0.0086058360764409
650,0.0,0.0116722032796673
655,0.0,0.0116722032796673
660,0.0,0.0116722032796673
665,0.0,0.0105507693090796
670,0.0,0.0105507693090796
675,0.0,0.0105507693090796
680,0.0,0.0104695449326614
685,0.0,0.0104695449326614
690,0.0,0.0104695449326614
695,0.0,0.0098987903951629
700,0.0,0.0098987903951629
705,0.0,0.0098987903951629
710,0.0,0.0076828012548704
715,0.0,0.0076828012548704
720,0.0,0.0076828012548704
725,0.0,0.0077510902083636
730,0.0,0.0077510902083636
735,0.0,0.0077510902083636
740,0.0,0.0074658389339934
745,0.0,0.0074658389339934
750,0.0,0.0074658389339934
755,0.0,0.00741854904369
760,0.0,0.00741854904369
765,0.0,0.00741854904369
770,0.0,0.0069225511711471
775,0.0,0.0069225511711471
780,0.0,0.0069225511711471
785,0.0,0.0066849257720914
790,0.0,0.0066849257720914
795,0.0,0.0066849257720914
800,4.978279748750014e-05,0.0067464110291111
805,4.978279748750014e-05,0.0067464110291111
810,4.978279748750014e-05,0.0067464110291111
815,0.0001042431732624,0.0067535507105956
820,0.0001042431732624,0.0067535507105956
825,0.0001042431732624,0.0067535507105956
830,0.0001518542379736,0.006461495739752
835,0.0001518542379736,0.006461495739752
840,0.0001518542379736,0.006461495739752
845,0.0002332942170849,0.0062918233091785
850,0.0002332942170849,0.0062918233091785
855,0.0002332942170849,0.0062918233091785
860,0.0003890742796926,0.0062105149365076
865,0.0003890742796926,0.0062105149365076
870,0.0003890742796926,0.0062105149365076
875,0.0005719174738203,0.0063196260688418
880,0.0005719174738203,0.0063196260688418
885,0.0005719174738203,0.0063196260688418
